Gene,Value,Normalized_Value
CHD6,430892,215.446
CMTM4,2000000,1000
PTPRT,430964,215.482
PRDM15,431506,215.753
BANP,2000000,1000
MPP6,430670,215.335
EDEM1,431734,215.867
HSPD1,429997,214.9985
HSPE1,430479,215.2395
TUSC3,431583,215.7915
IGF2BP3,430628,215.314
STK24,430568,215.284
ADAM12,431590,215.795
LSS,431935,215.9675
FCER1A,2000000,1000
XRCC3,430330,215.165
NOP56,430301,215.1505
IDH3B,431050,215.525
PTPDC1,431230,215.615
MPPED2,2000000,1000
GNG4,430239,215.1195
SF3B1,430217,215.1085
HEXB,431782,215.891
SLC1A1,430461,215.2305
DDAH1,2000000,1000
ABHD2,2000000,1000
F11R,431321,215.6605
USF1,430536,215.268
ARHGAP30,431533,215.7665
ST3GAL1,2000000,1000
SSBP4,2000000,1000
OTUB2,430572,215.286
SIRPD,2000000,1000
LPAR2,430516,215.258
GMIP,432060,216.03
WNK2,2000000,1000
SLC26A3,432138,216.069
C9orf72,430718,215.359
EMCN,2000000,1000
GABRB1,431327,215.6635
STRA8,2000000,1000
TEP1,431297,215.6485
PTPRR,431018,215.509
UPK1B,431918,215.959
CYP4B1,431452,215.726
COQ10B,2000000,1000
DENND1A,431050,215.525
C16orf71,431672,215.836
NUBPL,431570,215.785
EDN2,430555,215.2775
OGFOD1,431109,215.5545
ZNF804B,2000000,1000
RBBP5,430555,215.2775
FANCA,430987,215.4935
CRYZ,430938,215.469
EFHD1,431516,215.758
DEFB134,2000000,1000
FAM49B,431214,215.607
SLC37A1,432240,216.12
ARC,430474,215.237
ELMOD1,2000000,1000
TNNC2,431958,215.979
SNX21,430718,215.359
DDC,430414,215.207
ZNF563,431705,215.8525
DNAJA1,430468,215.234
IL1RL1,430464,215.232
ARRB1,430123,215.0615
CHCHD3,430453,215.2265
TKT,430867,215.4335
POLL,430603,215.3015
CDK2AP1,431559,215.7795
ZNF214,431015,215.5075
C16orf90,2000000,1000
CLUAP1,430699,215.3495
EBNA1BP2,430451,215.2255
PKN1,430413,215.2065
PTGER1,430539,215.2695
GIPC1,431119,215.5595
SMC5,430698,215.349
SLC45A1,2000000,1000
SNX29,431574,215.787
ANKRD44,431190,215.595
KLHDC7A,432209,216.1045
BHLHE22,431586,215.793
OR6Y1,2000000,1000
SLC33A1,430542,215.271
DDX50,430539,215.2695
BEST3,2000000,1000
ESRRG,430710,215.355
SYT13,431155,215.5775
PITPNC1,431914,215.957
SYT7,431681,215.8405
MLX,430623,215.3115
PSMC3IP,430638,215.319
BARX2,431297,215.6485
ACOT8,2000000,1000
BTRC,430608,215.304
GEM,430967,215.4835
SLC8A3,430718,215.359
IQCB1,430688,215.344
PRDM16,431686,215.843
UBE2Z,431232,215.616
DOK6,2000000,1000
DDHD2,430491,215.2455
RORA,431111,215.5555
NOS1,430280,215.14
ZNF778,431691,215.8455
MAP3K9,430527,215.2635
PROKR2,430677,215.3385
KLHDC10,430922,215.461
CDK5RAP3,2000000,1000
TMEM135,431352,215.676
ACYP2,2000000,1000
POMT2,2000000,1000
MAML2,2000000,1000
SMAP2,431988,215.994
COLEC11,431568,215.784
VPS13C,430871,215.4355
NR3C2,430588,215.294
SLC19A2,2000000,1000
VAV1,430623,215.3115
RALBP1,431130,215.565
ELMO1,432011,216.0055
CNTN6,2000000,1000
SOX11,431503,215.7515
PLXDC1,2000000,1000
TRA2B,430581,215.2905
TRPM3,431123,215.5615
SGCG,430718,215.359
EBPL,2000000,1000
PTPRD,431106,215.553
SCML4,2000000,1000
EEF1A2,430540,215.27
RPS17,430657,215.3285
PTPRZ1,430381,215.1905
MTIF3,431570,215.785
GPC5,431562,215.781
NUP88,430657,215.3285
ELAVL4,430333,215.1665
MEGF6,2000000,1000
CNIH3,2000000,1000
FAM20A,432011,216.0055
DGKB,431324,215.662
ZCCHC7,431938,215.969
UBTD2,2000000,1000
GREM1,430607,215.3035
CCBE1,2000000,1000
CRLF3,430693,215.3465
GDPD5,2000000,1000
DTNBP1,431586,215.793
GSTZ1,431262,215.631
ASB5,431418,215.709
RFTN2,2000000,1000
BEST1,432011,216.0055
PHF2,431205,215.6025
ANKS1B,430362,215.181
SDR9C7,2000000,1000
ST18,431093,215.5465
DGKZ,431144,215.572
MDK,431056,215.528
HDAC9,430179,215.0895
NKAIN3,2000000,1000
FRMD5,431321,215.6605
EIF2AK4,431343,215.6715
IFNK,2000000,1000
ITGBL1,431447,215.7235
KIF18A,430120,215.06
ZNF407,2000000,1000
NMT2,430684,215.342
SFN,430850,215.425
NKX6-3,2000000,1000
ANK1,430873,215.4365
COL21A1,2000000,1000
SLC6A1,430940,215.47
ZMAT4,430548,215.274
VTI1A,431830,215.915
TUBGCP4,431183,215.5915
NTNG2,431987,215.9935
NEK1,430616,215.308
ACYP1,430292,215.146
KIAA1958,2000000,1000
ADAL,431819,215.9095
ZNF670,2000000,1000
RANGAP1,430419,215.2095
CDH2,430241,215.1205
ECT2,430681,215.3405
FOXA2,431604,215.802
RPL36AL,430706,215.353
MGAT2,431756,215.878
OAZ1,431583,215.7915
LINGO3,2000000,1000
CLEC18B,2000000,1000
UBXN7,430151,215.0755
PPP2R2B,430484,215.242
ZDHHC20,431948,215.974
KLRC1,2000000,1000
ARHGAP18,2000000,1000
PARVB,431212,215.606
IQCE,431080,215.54
SLC5A7,430356,215.178
CYP2C18,431095,215.5475
CA10,431374,215.687
HINT1,430984,215.492
LYRM7,430675,215.3375
GRIN3A,431432,215.716
SLC12A5,431112,215.556
NPEPL1,2000000,1000
ZSCAN29,431489,215.7445
TSHR,431802,215.901
KALRN,430171,215.0855
MATR3,430442,215.221
PAIP2,430546,215.273
SACS,430809,215.4045
C17orf98,2000000,1000
KLRK1,431834,215.917
PDE3A,431048,215.524
RNF2,430064,215.032
SNAP23,431169,215.5845
KCTD21,2000000,1000
SIPA1L2,431513,215.7565
CPA1,2000000,1000
ITGB4,431152,215.576
GALK1,430704,215.352
GPRC5D,431311,215.6555
FAM183A,2000000,1000
PARN,431174,215.587
SLCO3A1,2000000,1000
ANKRD26,430921,215.4605
IL17A,431113,215.5565
GRK5,430384,215.192
ELOVL3,2000000,1000
PITX3,431147,215.5735
GALNTL6,2000000,1000
NPR2,431141,215.5705
SPAG8,431463,215.7315
HINT2,430595,215.2975
FOXK1,431458,215.729
SRP54,430581,215.2905
GPN1,431232,215.616
HARBI1,2000000,1000
GNRHR,430343,215.1715
EXOC2,431162,215.581
HUS1B,2000000,1000
TASP1,430718,215.359
CHST11,431803,215.9015
RPS6KA1,430665,215.3325
SYT16,431615,215.8075
PCSK6,2000000,1000
FOXN3,430696,215.348
ASTN1,431567,215.7835
ZNF385D,2000000,1000
ABCC8,430843,215.4215
DPP6,430793,215.3965
ABCF2,430766,215.383
BPI,431511,215.7555
ARMC1,430158,215.079
TRDN,2000000,1000
RGS10,430538,215.269
TNIP1,431109,215.5545
MLKL,430808,215.404
PRKCQ,430711,215.3555
C6,430934,215.467
RANBP3L,2000000,1000
RPL37A,430200,215.1
LRRC2,2000000,1000
TDGF1,2000000,1000
CKLF,431225,215.6125
CMTM1,2000000,1000
CMTM2,430688,215.344
CD58,430628,215.314
NDRG2,432002,216.001
TPPP2,432240,216.12
RNASE13,2000000,1000
RNASE7,432097,216.0485
LRRC57,2000000,1000
CAB39L,2000000,1000
CTNNA2,430976,215.488
TM4SF19,2000000,1000
NLGN1,431403,215.7015
AGBL5,1998003,999.0015
LCMT2,2000000,1000
GRM1,430431,215.2155
SLC9A3,431084,215.542
SUPT7L,430902,215.451
ZFYVE28,2000000,1000
GLB1L2,2000000,1000
B3GAT1,431312,215.656
C11orf24,431495,215.7475
FBXL17,431822,215.911
ATXN7,430748,215.374
FBXO31,431339,215.6695
DUSP13,431181,215.5905
SAMD8,2000000,1000
NCOR2,430348,215.174
LAPTM5,430567,215.2835
MFN2,432028,216.014
CABP2,431658,215.829
TPP2,431036,215.518
SULT1C4,2000000,1000
SLC2A2,430189,215.0945
IREB2,430369,215.1845
SMG6,431574,215.787
ZNF622,430454,215.227
NAT2,430457,215.2285
SMOC1,431521,215.7605
SLCO1C1,431160,215.58
MAMDC2,2000000,1000
SVOP,2000000,1000
SPTY2D1,2000000,1000
USP10,430498,215.249
H3F3B,430587,215.2935
UNK,431585,215.7925
FGFR1,430080,215.04
SMAD3,430376,215.188
PTGIS,430456,215.228
NLRP14,2000000,1000
PIPOX,431327,215.6635
CTGF,430364,215.182
GNA13,430607,215.3035
CDK3,430131,215.0655
EVPL,430743,215.3715
RPGRIP1L,431357,215.6785
EAF2,2000000,1000
ZDHHC22,431842,215.921
ZDHHC19,431790,215.895
DSPP,430547,215.2735
PTPRG,430584,215.292
STX16,431046,215.523
TMTC1,2000000,1000
CYP4F3,431378,215.689
CYP4F12,431452,215.726
TBCD,430607,215.3035
TSHZ2,2000000,1000
PRDM11,2000000,1000
BIK,430692,215.346
OR10R2,2000000,1000
B4GALNT2,2000000,1000
UFM1,430663,215.3315
NDUFC2,431266,215.633
ISOC1,430894,215.447
CD14,431117,215.5585
TMCO6,432145,216.0725
NDUFA2,430481,215.2405
MBD1,430332,215.166
CXXC1,430926,215.463
TC2N,431932,215.966
CHRM4,430513,215.2565
KLRC4,2000000,1000
NSUN2,430739,215.3695
PLEKHA7,431268,215.634
CADPS,2000000,1000
FOXF2,430619,215.3095
PITPNM3,430936,215.468
OTOG,2000000,1000
NXPH1,2000000,1000
TSPAN15,2000000,1000
AIG1,430617,215.3085
ARMC7,430489,215.2445
