Gene	Module	kME
CFH	P1_I6_M6	0.94
FUCA2	P1_I6_M7	0.83
NFYA	P1_I6_M2	0.87
STPG1	P1_I6_M2	0.88
LAS1L	P1_I6_M4	0.91
KRIT1	P1_I6_M4	0.91
RAD52	P1_I6_M1	0.85
HECW1	P1_I6_M1	0.93
NDUFAF7	P1_I6_M2	0.98
SLC7A2	P1_I6_M7	0.92
SARM1	P1_I6_M1	0.94
RBM6	P1_I6_M4	0.84
CAMKK1	P1_I6_M3	0.91
SLC22A16	P1_I6_M2	0.88
SLC25A13	P1_I6_M6	0.89
CDC27	P1_I6_M4	0.85
SLC4A1	P1_I6_M13	0.97
CALCR	P1_I6_M1	0.99
DVL2	P1_I6_M4	0.82
MCUB	P1_I6_M5	0.89
DHX33	P1_I6_M1	0.87
THSD7A	P1_I6_M1	0.93
AC004381.6	P1_I6_M2	0.94
CIAPIN1	P1_I6_M2	0.88
MSL3	P1_I6_M5	0.89
MPO	P1_I6_M13	0.96
PON1	P1_I6_M6	1.0
ABCB4	P1_I6_M6	0.94
KMT2E	P1_I6_M4	0.82
SOX8	P1_I6_M3	0.99
FBXL3	P1_I6_M4	0.82
ITGAL	P1_I6_M5	0.97
YBX2	P1_I6_M2	0.95
KRT33A	P1_I6_M1	0.99
ABCC8	P1_I6_M1	0.9
TMEM132A	P1_I6_M3	0.94
TAC1	P1_I6_M3	0.84
ZNF263	P1_I6_M4	0.94
SPATA20	P1_I6_M2	0.94
CACNA1G	P1_I6_M1	0.92
DLX6	P1_I6_M1	0.98
MAP3K9	P1_I6_M1	0.93
ETV1	P1_I6_M3	0.84
CCL26	P1_I6_M1	0.9
USH1C	P1_I6_M9	0.91
DBF4	P1_I6_M1	0.86
TBXA2R	P1_I6_M1	0.97
COX10	P1_I6_M2	0.86
PAF1	P1_I6_M4	0.87
ELAC2	P1_I6_M4	0.86
MYH13	P1_I6_M1	0.99
UPP2	P1_I6_M12	0.93
PRSS21	P1_I6_M2	0.97
CEACAM21	P1_I6_M1	0.9
SLC13A2	P1_I6_M9	0.94
GAS7	P1_I6_M3	0.89
SCN4A	P1_I6_M8	0.89
ST7L	P1_I6_M2	0.99
TKTL1	P1_I6_M2	0.96
RPUSD1	P1_I6_M1	0.84
LUC7L	P1_I6_M4	0.87
FMO3	P1_I6_M6	0.99
SYN1	P1_I6_M3	0.98
TFAP2D	P1_I6_M1	0.99
ADAM22	P1_I6_M3	0.9
CELSR3	P1_I6_M1	0.99
PLEKHG6	P1_I6_M9	0.84
MGST1	P1_I6_M6	0.81
CRY1	P1_I6_M2	0.87
PGLYRP1	P1_I6_M13	0.97
MAPK8IP2	P1_I6_M3	0.98
RPS20	P1_I6_M14	0.96
UBE3C	P1_I6_M4	0.83
TENM1	P1_I6_M1	0.98
PAX7	P1_I6_M1	0.99
MASP2	P1_I6_M6	0.98
TRAF3IP3	P1_I6_M5	0.95
BAZ1B	P1_I6_M4	0.94
RANBP9	P1_I6_M2	0.88
SPRTN	P1_I6_M1	0.81
DYRK4	P1_I6_M2	0.96
UQCRC1	P1_I6_M8	0.8
HHATL	P1_I6_M16	0.99
IFFO1	P1_I6_M1	0.86
PHF7	P1_I6_M2	0.93
FUZ	P1_I6_M2	0.88
SLC6A13	P1_I6_M12	0.99
IDS	P1_I6_M3	0.94
PRSS3	P1_I6_M18	1.0
BTK	P1_I6_M5	0.95
FMO1	P1_I6_M12	0.98
SLC6A7	P1_I6_M1	0.88
BTBD7	P1_I6_M1	0.83
APBA3	P1_I6_M1	0.96
MBTD1	P1_I6_M2	0.92
UTP18	P1_I6_M2	0.86
PIK3C2A	P1_I6_M7	0.92
PLAUR	P1_I6_M13	0.94
ANLN	P1_I6_M3	0.9
RABGAP1	P1_I6_M4	0.88
QPCTL	P1_I6_M1	0.95
ZBTB32	P1_I6_M2	0.95
PRICKLE3	P1_I6_M1	0.89
EHD3	P1_I6_M3	0.87
PSMC4	P1_I6_M4	0.84
CLDN11	P1_I6_M2	0.85
ANGEL1	P1_I6_M2	0.82
CD6	P1_I6_M5	0.95
UFL1	P1_I6_M4	0.89
POLA2	P1_I6_M1	0.84
ZC3H3	P1_I6_M1	0.85
WAS	P1_I6_M5	0.96
MATR3	P1_I6_M4	0.83
NPC1L1	P1_I6_M9	0.96
RGPD5	P1_I6_M1	0.98
STMN4	P1_I6_M3	0.98
NUDCD3	P1_I6_M1	0.94
CLCA1	P1_I6_M9	0.83
CNTN1	P1_I6_M3	0.93
SLC11A1	P1_I6_M1	0.88
ZNF582	P1_I6_M1	0.9
SYT13	P1_I6_M3	0.85
NCDN	P1_I6_M3	0.98
ZFP64	P1_I6_M1	0.85
MNAT1	P1_I6_M7	0.89
SAMD4A	P1_I6_M2	0.88
RUNX3	P1_I6_M5	0.87
PLEKHB1	P1_I6_M3	0.93
SLC7A9	P1_I6_M9	0.88
AQR	P1_I6_M1	0.92
CPS1	P1_I6_M6	0.93
C8B	P1_I6_M6	0.99
FHL1	P1_I6_M8	0.94
GABRA1	P1_I6_M3	0.99
NLRP2	P1_I6_M1	0.99
ALAS1	P1_I6_M17	0.93
BIRC3	P1_I6_M5	0.85
SNAPC1	P1_I6_M2	0.86
DEF6	P1_I6_M5	0.91
DEPDC1	P1_I6_M1	0.91
HSF2	P1_I6_M2	0.91
HSD17B6	P1_I6_M6	0.97
TOMM34	P1_I6_M2	0.88
KPNA6	P1_I6_M7	0.82
INSRR	P1_I6_M1	0.99
SH2D2A	P1_I6_M1	0.82
POU2F2	P1_I6_M5	0.95
BRD9	P1_I6_M1	0.86
TBPL1	P1_I6_M2	0.95
ANK1	P1_I6_M8	0.98
IBSP	P1_I6_M1	0.99
NUP160	P1_I6_M4	0.9
MUSK	P1_I6_M1	0.98
CENPQ	P1_I6_M1	0.92
IFT88	P1_I6_M2	0.95
ABCF2	P1_I6_M4	0.87
LRRC7	P1_I6_M1	0.92
PIAS1	P1_I6_M4	0.87
APBA2	P1_I6_M1	0.94
ASTE1	P1_I6_M1	0.9
RFC1	P1_I6_M7	0.82
CUL3	P1_I6_M2	0.9
MYOM2	P1_I6_M16	0.97
OTC	P1_I6_M6	0.81
CYP46A1	P1_I6_M3	0.97
CASR	P1_I6_M7	0.95
TUBG2	P1_I6_M3	0.85
RPL26L1	P1_I6_M2	0.85
