Gene	Module	kME
MFAP3	P1_I6_M7	0.86
TLL1	P1_I6_M1	0.94
CLEC16A	P1_I6_M2	0.94
SKIV2L2	P1_I6_M4	0.85
DNAH5	P1_I6_M1	0.97
C6	P1_I6_M6	0.97
SOX30	P1_I6_M2	0.98
SPDL1	P1_I6_M2	0.96
PQLC2	P1_I6_M1	0.82
RTN4R	P1_I6_M1	0.81
PHF23	P1_I6_M4	0.84
MYO16	P1_I6_M1	0.99
LSG1	P1_I6_M4	0.86
TDP1	P1_I6_M2	0.82
C2orf83	P1_I6_M1	0.99
SPATA7	P1_I6_M2	0.98
MED17	P1_I6_M1	0.99
RETSAT	P1_I6_M9	0.84
USH2A	P1_I6_M1	0.98
ZPBP	P1_I6_M2	0.96
ADAM28	P1_I6_M11	0.95
BARX2	P1_I6_M15	0.83
DCUN1D1	P1_I6_M2	0.94
ZIC2	P1_I6_M1	0.98
LCP2	P1_I6_M5	0.87
GUCA2B	P1_I6_M9	0.81
CNTLN	P1_I6_M1	0.88
GPM6B	P1_I6_M3	0.96
MAGEC2	P1_I6_M2	0.93
PREX2	P1_I6_M1	0.87
POLR2B	P1_I6_M4	0.92
CP	P1_I6_M6	0.98
ANO2	P1_I6_M1	0.9
SCML1	P1_I6_M2	0.91
FAM184B	P1_I6_M1	0.99
GOPC	P1_I6_M4	0.94
ROS1	P1_I6_M11	0.82
LMO3	P1_I6_M3	0.89
RSF1	P1_I6_M4	0.92
R3HDM1	P1_I6_M3	0.83
ERCC8	P1_I6_M1	0.93
ADAMTS6	P1_I6_M1	0.99
UTS2	P1_I6_M1	0.98
TNFRSF9	P1_I6_M1	0.91
RCN1	P1_I6_M11	0.88
FOXP3	P1_I6_M1	0.93
PTCD2	P1_I6_M1	0.96
KIAA2022	P1_I6_M1	0.98
JKAMP	P1_I6_M4	0.88
SLC4A8	P1_I6_M1	0.87
TNIP3	P1_I6_M1	0.95
MAPK9	P1_I6_M3	0.83
RAD51	P1_I6_M2	0.89
POLQ	P1_I6_M1	0.98
RRP12	P1_I6_M13	0.91
TTC17	P1_I6_M4	0.85
ALX4	P1_I6_M1	0.99
FSTL4	P1_I6_M1	0.93
MCF2L2	P1_I6_M1	0.85
NRIP2	P1_I6_M1	0.85
THRAP3	P1_I6_M4	0.87
ARID4B	P1_I6_M4	0.87
PTPRN	P1_I6_M3	0.98
HHAT	P1_I6_M1	0.97
ATP9A	P1_I6_M3	0.91
SPO11	P1_I6_M1	0.93
FAM168A	P1_I6_M3	0.85
RELT	P1_I6_M13	0.99
CUL1	P1_I6_M2	0.88
FAM114A2	P1_I6_M2	0.88
TAB2	P1_I6_M4	0.87
PUM2	P1_I6_M4	0.89
ITIH4	P1_I6_M6	0.99
ITIH1	P1_I6_M6	0.99
HPF1	P1_I6_M4	0.84
ZFR	P1_I6_M4	0.86
ZNF280C	P1_I6_M1	0.91
NPFFR2	P1_I6_M1	0.98
PHF21B	P1_I6_M1	0.96
TRAF1	P1_I6_M5	0.91
IL17RB	P1_I6_M12	0.88
GYG2	P1_I6_M1	0.82
SERPINB3	P1_I6_M15	0.93
SOAT1	P1_I6_M17	0.97
MSH4	P1_I6_M1	0.98
F7	P1_I6_M6	0.95
PITHD1	P1_I6_M7	0.83
USP13	P1_I6_M8	0.84
CDK14	P1_I6_M3	0.83
CAMK2B	P1_I6_M3	0.93
CROCC	P1_I6_M1	0.9
POLR3E	P1_I6_M1	0.96
ZC3H11A	P1_I6_M4	0.87
UNKL	P1_I6_M1	0.93
PARP12	P1_I6_M1	0.85
PSD	P1_I6_M3	0.93
CTDP1	P1_I6_M1	0.83
YBX3	P1_I6_M8	0.87
CREB3L3	P1_I6_M9	0.95
PIGV	P1_I6_M2	0.9
RIMBP2	P1_I6_M7	0.95
ACAA1	P1_I6_M6	0.84
LZTS1	P1_I6_M7	0.97
PRDM6	P1_I6_M1	0.96
WNT8A	P1_I6_M1	0.99
GUCY1B3	P1_I6_M7	0.9
ARSF	P1_I6_M1	0.94
GPBP1	P1_I6_M4	0.85
ZNF112	P1_I6_M1	0.92
WAPL	P1_I6_M2	0.81
SEZ6	P1_I6_M3	0.95
EIF4B	P1_I6_M14	0.85
SLC6A16	P1_I6_M2	0.98
RPL18	P1_I6_M14	0.92
CA11	P1_I6_M3	0.95
AHRR	P1_I6_M2	0.98
GSC2	P1_I6_M1	1.0
GPC1	P1_I6_M10	0.9
ADCK1	P1_I6_M1	0.96
RNF4	P1_I6_M4	0.89
CASP8	P1_I6_M5	0.89
TM7SF3	P1_I6_M12	0.86
SPA17	P1_I6_M2	0.92
TSPAN32	P1_I6_M1	0.88
DMRT3	P1_I6_M7	0.93
HIPK2	P1_I6_M3	0.85
TNPO3	P1_I6_M4	0.89
BORCS8-MEF2B	P1_I6_M1	0.99
SUGP2	P1_I6_M2	0.9
DDX20	P1_I6_M2	0.98
POU1F1	P1_I6_M1	0.99
SBNO2	P1_I6_M1	0.85
PMS1	P1_I6_M2	0.96
GNAI3	P1_I6_M1	0.94
IPO5	P1_I6_M2	0.89
OAT	P1_I6_M9	0.9
MCM10	P1_I6_M1	0.95
ROPN1	P1_I6_M2	0.96
ANKRD44	P1_I6_M5	0.96
ADAT1	P1_I6_M4	0.84
MAP2K4	P1_I6_M3	0.86
SNAP91	P1_I6_M3	0.99
COL17A1	P1_I6_M10	0.95
CDK13	P1_I6_M4	0.89
SLC9A7	P1_I6_M1	0.84
ELAVL1	P1_I6_M4	0.89
SMARCD1	P1_I6_M4	0.88
NFYC	P1_I6_M4	0.83
ZMYND12	P1_I6_M2	0.92
NGEF	P1_I6_M3	0.87
CD84	P1_I6_M5	0.92
ZNRD1	P1_I6_M1	0.97
THUMPD1	P1_I6_M4	0.85
KIF26A	P1_I6_M1	0.99
ATG2B	P1_I6_M1	0.83
ACSM2B	P1_I6_M12	0.9
STAG3	P1_I6_M2	0.97
MYO9A	P1_I6_M2	0.88
CACNB1	P1_I6_M8	0.91
STOML1	P1_I6_M3	0.9
DNTTIP2	P1_I6_M1	0.93
METTL22	P1_I6_M1	0.89
TP53BP1	P1_I6_M4	0.89
RRP15	P1_I6_M1	0.97
ZFY	P1_I6_M1	0.89
IARS2	P1_I6_M7	0.84
SYT1	P1_I6_M3	0.97
PDZD4	P1_I6_M3	0.99
ATP2B3	P1_I6_M1	0.83
ROCK1	P1_I6_M1	0.9
FGFR3	P1_I6_M10	0.96
HEATR6	P1_I6_M1	0.85
TBC1D25	P1_I6_M1	0.9
PRR11	P1_I6_M1	0.85
REEP1	P1_I6_M2	0.83
POLR1A	P1_I6_M1	0.89
TTC7A	P1_I6_M2	0.84
STON1-GTF2A1L	P1_I6_M1	0.98
RASGRP2	P1_I6_M5	0.9
PSME4	P1_I6_M2	0.89
IFT80	P1_I6_M4	0.87
PPP2R5B	P1_I6_M3	0.86
PYGM	P1_I6_M8	0.97
PAGE1	P1_I6_M1	0.82
PITX1	P1_I6_M15	0.96
TRPC7	P1_I6_M1	0.99
SDK2	P1_I6_M1	0.87
ADAM7	P1_I6_M11	0.99
NUP133	P1_I6_M4	0.93
VPS35	P1_I6_M1	0.85
DNAJA2	P1_I6_M4	0.87
GAL	P1_I6_M1	0.8
CLEC2D	P1_I6_M5	0.88
DRD4	P1_I6_M1	0.99
KIAA1107	P1_I6_M3	0.93
LRP6	P1_I6_M1	0.81
GUCY2C	P1_I6_M9	0.94
PHRF1	P1_I6_M1	0.98
IKBKAP	P1_I6_M7	0.83
DAPP1	P1_I6_M5	0.81
CLTCL1	P1_I6_M2	0.87
FGF22	P1_I6_M1	0.96
MNT	P1_I6_M1	0.85
JMJD6	P1_I6_M13	0.92
POLB	P1_I6_M2	0.86
FRMPD1	P1_I6_M1	0.92
CNGB1	P1_I6_M1	0.99
CHAT	P1_I6_M1	0.97
CFAP20	P1_I6_M4	0.84
CSNK2A2	P1_I6_M2	0.85
CAMK2A	P1_I6_M3	0.97
EPHA8	P1_I6_M1	0.98
SLC12A3	P1_I6_M12	0.98
RAD18	P1_I6_M1	0.93
TRPM5	P1_I6_M1	0.98
RPL31	P1_I6_M14	0.96
SNX13	P1_I6_M4	0.83
ING3	P1_I6_M13	0.85
TRIP13	P1_I6_M2	0.96
PRLH	P1_I6_M1	0.99
HLTF	P1_I6_M2	0.87
MYO3B	P1_I6_M1	0.84
CDH19	P1_I6_M1	0.92
SLC6A15	P1_I6_M1	0.82
ADGRL1	P1_I6_M3	0.89
SPP2	P1_I6_M6	1.0
ZFYVE26	P1_I6_M1	0.87
PTPN18	P1_I6_M5	0.81
ASIC4	P1_I6_M1	0.96
TRPC5	P1_I6_M1	0.99
HMMR	P1_I6_M2	0.85
TRHDE	P1_I6_M1	0.94
STK10	P1_I6_M5	0.9
ACAP1	P1_I6_M5	0.86
CRMP1	P1_I6_M3	0.98
SIDT1	P1_I6_M1	0.83
TMEM38A	P1_I6_M8	0.97
XRCC1	P1_I6_M4	0.85
SCARB1	P1_I6_M17	0.94
CYP2W1	P1_I6_M1	0.92
MOV10L1	P1_I6_M2	0.94
PANX2	P1_I6_M1	0.97
SELENOO	P1_I6_M1	0.93
TP63	P1_I6_M10	0.95
ALPK1	P1_I6_M1	0.92
CLCN4	P1_I6_M3	0.82
NLE1	P1_I6_M1	0.85
FNDC8	P1_I6_M2	0.99
GSDMB	P1_I6_M9	0.86
ADAM11	P1_I6_M1	0.86
PPP2R3A	P1_I6_M8	0.86
TBX21	P1_I6_M1	0.9
NSF	P1_I6_M3	0.98
GLI2	P1_I6_M1	0.91
PPP2R2C	P1_I6_M3	0.9
CDHR2	P1_I6_M9	0.97
SNCB	P1_I6_M3	0.98
TSG101	P1_I6_M4	0.84
NCBP3	P1_I6_M1	0.85
SLC24A1	P1_I6_M1	0.93
SCARF1	P1_I6_M1	0.86
NOX3	P1_I6_M1	0.99
SLC12A1	P1_I6_M12	0.97
TUBE1	P1_I6_M2	0.85
KCNQ2	P1_I6_M3	0.96
TIPIN	P1_I6_M2	0.9
EIF4G3	P1_I6_M2	0.84
SEMA3A	P1_I6_M1	0.84
GTSE1	P1_I6_M1	0.87
TTC38	P1_I6_M9	0.82
WNT8B	P1_I6_M1	0.99
ZNF638	P1_I6_M4	0.95
SLC25A40	P1_I6_M1	0.82
FGF4	P1_I6_M1	0.99
ZNF37A	P1_I6_M1	0.8
MARK3	P1_I6_M4	0.81
CACNG5	P1_I6_M1	0.99
CACNG4	P1_I6_M3	0.88
MOCOS	P1_I6_M1	0.88
ATP12A	P1_I6_M1	0.8
WDR62	P1_I6_M2	0.96
SEC31B	P1_I6_M1	1.0
SART3	P1_I6_M4	0.95
ARHGAP15	P1_I6_M5	0.94
TUBA3D	P1_I6_M2	0.96
KIFAP3	P1_I6_M3	0.82
MKRN2	P1_I6_M2	0.89
PTPN23	P1_I6_M7	0.89
FMO4	P1_I6_M12	0.87
RGS11	P1_I6_M1	0.81
SPAG5	P1_I6_M2	0.94
GPATCH1	P1_I6_M1	0.96
ARHGEF1	P1_I6_M5	0.92
NMRK2	P1_I6_M16	0.97
TOP2B	P1_I6_M4	0.86
NFKB2	P1_I6_M5	0.86
DNAJC10	P1_I6_M11	0.88
IL4R	P1_I6_M5	0.87
USP33	P1_I6_M4	0.93
CAPN6	P1_I6_M11	0.87
DCX	P1_I6_M1	0.95
SPAG6	P1_I6_M2	0.91
APBB1IP	P1_I6_M5	0.97
SIRT6	P1_I6_M1	0.85
ACTN2	P1_I6_M8	0.92
FKBP6	P1_I6_M2	0.99
SMC1B	P1_I6_M2	0.98
CST7	P1_I6_M13	0.97
MAP2	P1_I6_M3	0.98
PIAS2	P1_I6_M2	0.97
AMPH	P1_I6_M3	0.99
ACER3	P1_I6_M1	0.87
PIK3C3	P1_I6_M4	0.91
N4BP2	P1_I6_M1	0.97
TIGAR	P1_I6_M1	0.88
ADCY2	P1_I6_M3	0.9
RBFOX1	P1_I6_M3	0.94
HOXA9	P1_I6_M1	0.8
MLLT10	P1_I6_M2	0.94
ZCWPW1	P1_I6_M2	1.0
ADCYAP1R1	P1_I6_M3	0.95
FGF20	P1_I6_M1	0.99
P2RY10	P1_I6_M5	0.94
PCM1	P1_I6_M2	0.86
TNRC6C	P1_I6_M1	0.82
BRINP1	P1_I6_M3	0.96
PKD2L2	P1_I6_M1	0.93
TP73	P1_I6_M1	0.92
TOLLIP	P1_I6_M3	0.87
UBE2D4	P1_I6_M1	0.88
CLUL1	P1_I6_M1	0.86
RUNX1T1	P1_I6_M1	0.84
CDH17	P1_I6_M9	0.84
OSBPL6	P1_I6_M1	0.86
SLC1A3	P1_I6_M3	0.97
XRCC5	P1_I6_M4	0.85
SP140	P1_I6_M5	0.94
CDC14A	P1_I6_M2	0.93
SENP1	P1_I6_M2	0.98
DUSP13	P1_I6_M8	0.87
AFM	P1_I6_M6	0.99
PGM1	P1_I6_M8	0.93
PTPRH	P1_I6_M9	0.9
DCT	P1_I6_M10	0.98
EPHA6	P1_I6_M1	0.91
RFX3	P1_I6_M2	0.91
RAB21	P1_I6_M1	0.9
RDH8	P1_I6_M1	0.99
PIH1D3	P1_I6_M1	0.85
CPB2	P1_I6_M6	0.99
CNOT4	P1_I6_M4	0.84
CLDND1	P1_I6_M3	0.87
MOK	P1_I6_M2	0.92
RBL1	P1_I6_M1	0.93
IGSF9B	P1_I6_M1	0.95
CFHR2	P1_I6_M6	0.99
AP4E1	P1_I6_M1	0.93
AFP	P1_I6_M1	0.99
CDH7	P1_I6_M1	0.99
IMPG2	P1_I6_M1	0.89
PCNP	P1_I6_M4	0.87
PTPRC	P1_I6_M5	0.93
CACNA1S	P1_I6_M8	0.97
PKP1	P1_I6_M10	0.96
ZNF510	P1_I6_M1	0.84
LRP2	P1_I6_M7	0.93
ZNF506	P1_I6_M1	0.84
JMJD4	P1_I6_M1	0.88
SLC13A1	P1_I6_M12	0.96
PCDHB4	P1_I6_M1	0.93
PCDHA6	P1_I6_M1	0.99
PCDHGA2	P1_I6_M1	0.94
IL12RB2	P1_I6_M1	0.93
FYB	P1_I6_M5	0.94
MPP4	P1_I6_M1	0.99
C5orf22	P1_I6_M1	0.86
COL19A1	P1_I6_M1	0.98
SERTAD4	P1_I6_M1	0.97
GEMIN5	P1_I6_M1	0.87
OPRK1	P1_I6_M1	0.99
SEMA5B	P1_I6_M1	0.93
ERC1	P1_I6_M1	0.84
XPO1	P1_I6_M4	0.88
TRPM3	P1_I6_M1	0.86
PALB2	P1_I6_M1	0.9
ULK2	P1_I6_M2	0.91
P2RX5	P1_I6_M5	0.94
ITGAE	P1_I6_M1	0.93
NUFIP1	P1_I6_M1	0.95
EPYC	P1_I6_M1	0.96
SLC27A5	P1_I6_M6	0.99
ZNF324	P1_I6_M1	0.94
ZNF671	P1_I6_M1	0.83
ZNF416	P1_I6_M1	0.97
ZNF446	P1_I6_M1	0.9
ZNF264	P1_I6_M1	0.82
RPS5	P1_I6_M14	0.96
SMAP2	P1_I6_M5	0.88
PPIE	P1_I6_M4	0.9
NOA1	P1_I6_M1	0.81
SSH1	P1_I6_M1	0.92
NKAIN1	P1_I6_M1	0.84
TXLNA	P1_I6_M4	0.88
APOB	P1_I6_M6	0.86
AGBL5	P1_I6_M2	0.94
KIF3C	P1_I6_M3	1.0
GCKR	P1_I6_M6	0.87
MAPRE3	P1_I6_M3	0.89
FCN1	P1_I6_M13	0.91
MAP3K4	P1_I6_M1	0.81
ABCB1	P1_I6_M17	0.81
ZNF213	P1_I6_M1	0.86
AKR1B1	P1_I6_M17	0.98
WNT11	P1_I6_M1	0.85
ATG16L1	P1_I6_M1	0.94
POMGNT1	P1_I6_M7	0.86
RAD54L	P1_I6_M1	0.83
NFX1	P1_I6_M4	0.89
NME8	P1_I6_M1	0.87
SEPHS1	P1_I6_M4	0.82
ITPKC	P1_I6_M15	0.82
FAT2	P1_I6_M10	0.98
PPEF1	P1_I6_M1	0.81
LAT2	P1_I6_M5	0.95
MYBPC2	P1_I6_M8	0.82
NOX4	P1_I6_M12	0.98
ACHE	P1_I6_M8	0.88
PIGS	P1_I6_M1	0.86
TMPRSS11E	P1_I6_M15	0.97
MT3	P1_I6_M3	0.97
GNAO1	P1_I6_M3	0.98
SF3B2	P1_I6_M4	0.88
PHACTR3	P1_I6_M3	0.97
TFAP2C	P1_I6_M10	0.85
AURKA	P1_I6_M2	0.84
RFX2	P1_I6_M2	0.95
METTL2A	P1_I6_M1	0.96
ALG6	P1_I6_M1	0.85
GP6	P1_I6_M1	0.99
DDX18	P1_I6_M4	0.84
GNA11	P1_I6_M9	0.83
DNMT3B	P1_I6_M1	0.97
REM1	P1_I6_M1	0.86
PDRG1	P1_I6_M7	0.85
SLC15A1	P1_I6_M9	0.93
TMEM40	P1_I6_M15	0.88
KIF9	P1_I6_M2	0.88
ARHGAP28	P1_I6_M2	0.93
DEFB127	P1_I6_M11	0.99
SMOX	P1_I6_M3	0.82
ZNF343	P1_I6_M1	0.82
LZTS3	P1_I6_M3	0.87
F11	P1_I6_M6	0.96
XRN2	P1_I6_M4	0.86
RPL6	P1_I6_M14	0.96
SIRPG	P1_I6_M5	0.88
DZANK1	P1_I6_M1	0.98
LHX5	P1_I6_M1	0.99
TASP1	P1_I6_M1	0.85
GCN1	P1_I6_M4	0.86
RPLP0	P1_I6_M14	0.89
SIRT4	P1_I6_M1	0.97
RPH3A	P1_I6_M3	0.98
CHGB	P1_I6_M17	0.99
BRAP	P1_I6_M2	0.98
NOS1	P1_I6_M1	0.91
FXYD5	P1_I6_M5	0.81
CDIP1	P1_I6_M3	0.9
KCNH4	P1_I6_M1	0.99
GANAB	P1_I6_M4	0.81
GMIP	P1_I6_M5	0.89
RBM41	P1_I6_M1	0.83
OTUB2	P1_I6_M1	0.96
ZBTB25	P1_I6_M1	0.82
NECAP1	P1_I6_M3	0.95
ARHGAP4	P1_I6_M5	0.91
ANKRD24	P1_I6_M1	0.93
SPTLC1	P1_I6_M4	0.84
PAPOLA	P1_I6_M4	0.85
PCBP4	P1_I6_M3	0.86
STRN4	P1_I6_M2	0.86
IRAK3	P1_I6_M13	0.9
SI	P1_I6_M9	0.96
TFAP4	P1_I6_M1	0.87
FETUB	P1_I6_M6	0.99
THPO	P1_I6_M1	0.95
FLT3LG	P1_I6_M5	0.86
USP48	P1_I6_M4	0.83
GLG1	P1_I6_M4	0.87
KIF4A	P1_I6_M1	0.92
DLL3	P1_I6_M3	0.95
EXOC1	P1_I6_M4	0.86
POU4F3	P1_I6_M1	0.99
NLRC4	P1_I6_M1	0.87
PUS7	P1_I6_M1	0.83
LAMB4	P1_I6_M10	0.93
NRCAM	P1_I6_M3	0.94
RAPGEF4	P1_I6_M3	0.92
TF	P1_I6_M6	0.98
MYO15A	P1_I6_M1	0.97
APOH	P1_I6_M6	0.99
ORC6	P1_I6_M1	0.9
ZFHX4	P1_I6_M1	0.92
SLC17A6	P1_I6_M1	0.98
CPA1	P1_I6_M18	1.0
RGS17	P1_I6_M1	0.97
PPP2R3C	P1_I6_M2	0.94
JPH4	P1_I6_M3	0.89
MYH7	P1_I6_M8	0.96
SLC7A8	P1_I6_M7	0.96
OSGEP	P1_I6_M1	0.83
SLC22A17	P1_I6_M3	0.96
SCFD1	P1_I6_M4	0.85
G2E3	P1_I6_M2	0.99
RPGRIP1	P1_I6_M2	0.99
SUPT16H	P1_I6_M4	0.92
TOX4	P1_I6_M4	0.88
GEMIN2	P1_I6_M1	0.85
TGM1	P1_I6_M15	0.99
TINF2	P1_I6_M7	0.96
DAZL	P1_I6_M2	0.98
TBL1Y	P1_I6_M1	0.99
TRPM7	P1_I6_M7	0.98
AGO1	P1_I6_M1	0.83
CLSPN	P1_I6_M1	0.93
DPYSL2	P1_I6_M3	0.92
GPATCH2	P1_I6_M1	0.86
CDC45	P1_I6_M2	0.84
OR1I1	P1_I6_M1	0.99
KRT31	P1_I6_M1	0.9
CDC23	P1_I6_M4	0.88
AAAS	P1_I6_M4	0.84
PTGS1	P1_I6_M10	0.81
NUP188	P1_I6_M2	0.95
PDE6C	P1_I6_M1	0.99
TLL2	P1_I6_M1	0.99
CYP26A1	P1_I6_M1	0.94
IL11	P1_I6_M1	0.96
MYO3A	P1_I6_M1	0.99
WAC	P1_I6_M4	0.89
SMIM24	P1_I6_M11	0.81
NCR2	P1_I6_M1	0.99
ZNF184	P1_I6_M1	0.88
DSP	P1_I6_M10	0.95
HNRNPH3	P1_I6_M4	0.84
IFT74	P1_I6_M2	0.88
IL12RB1	P1_I6_M5	0.92
SYDE2	P1_I6_M1	0.96
ERMP1	P1_I6_M7	0.94
MAST3	P1_I6_M3	0.88
MYO9B	P1_I6_M5	0.86
CATSPERG	P1_I6_M2	0.97
STX1B	P1_I6_M3	0.99
MAGEB2	P1_I6_M2	0.98
EFNA2	P1_I6_M1	0.89
ATP5D	P1_I6_M8	0.91
CBARP	P1_I6_M1	0.98
PCDH11Y	P1_I6_M1	0.99
AMELY	P1_I6_M1	0.99
MISP	P1_I6_M9	0.97
POLRMT	P1_I6_M2	0.92
CDHR5	P1_I6_M9	0.9
IZUMO4	P1_I6_M2	0.95
PALM	P1_I6_M3	0.88
MADCAM1	P1_I6_M1	0.82
ARVCF	P1_I6_M1	0.95
KLHL22	P1_I6_M4	0.86
SERPIND1	P1_I6_M6	0.99
SNAP29	P1_I6_M2	0.91
CECR2	P1_I6_M1	0.94
SMARCB1	P1_I6_M4	0.83
P2RX6	P1_I6_M1	0.99
SLC7A4	P1_I6_M1	0.83
BCL2L13	P1_I6_M7	0.83
