Module	lymph.node	stomach	appendix	parathyroid.gland	skeletal.muscle	endometrium	urinary.bladder	seminal.vesicle	colon	gallbladder	skin	adipose.tissue	esophagus	prostate	rectum	kidney	duodenum	placenta	testis	cervix..uterine	fallopian.tube	liver	spleen	bone.marrow	tonsil	breast	epididymis	adrenal.gland	thyroid.gland	salivary.gland	smooth.muscle	lung	ovary	pancreas	cerebral.cortex	small.intestine	heart.muscle
P1_I3_M10	-0.0666719827810987	0.00883929781670678	-0.0413250801567259	-0.0572203718241766	-0.0803477388048178	-0.0621203562530348	-0.0586040755019716	-0.0560280942651427	0.103543393180885	0.00316035464191074	-0.0357784442791448	0.195135574697193	-0.0507996234363755	-0.0498773452903261	0.0786296398016641	-0.00322327907771735	0.625552436679785	-0.0608487203846231	-0.0517472734984519	-0.0561099974208661	-0.0444496773465745	-0.00960091506872921	-0.0547902486589161	-0.0733586393078295	-0.0731122308810847	-0.0614239839909632	-0.0634445934987899	-0.0602876081543999	-0.0506062826315483	-0.0734142396596357	-0.0586127761252314	-0.0432323008440631	-0.0684207544350175	-0.0799267739757223	-0.065064779046263	0.670796014823314	-0.0752085250422177
P1_I3_M19	-0.0710886472079204	-0.0103648105594208	-0.0143703186386594	-0.0447661376359144	-0.0799399721543318	-0.0648985248566013	-0.043173351479809	-0.0478117028793577	0.595241501022965	-0.0241857826762343	-0.0587816418177989	0.0865478623565945	-0.00978450763795098	-0.0262319376242399	0.7270388639237	-0.0485572109047029	0.0611825771821974	-0.0555981835360867	-0.0612673935293858	-0.041404435462381	-0.0373458697868368	-0.067273422605637	-0.0630283257660457	-0.0683667303910756	-0.0569016758359931	-0.0463883633893769	-0.0483683469770337	-0.0665302150683313	-0.0341858678557481	-0.058784746339433	-0.0381854298371939	-0.0123929509535314	-0.0693260590364253	-0.0855952918434521	-0.0533789662537677	0.11744599055566	-0.0791799745004393
P1_I3_M6	-0.0430787430536057	-0.0363644770817415	-0.0358118566505781	-0.0328166496292313	-0.0468124378365962	-0.0364105342638977	-0.0392233449059236	-0.0369364402673443	-0.0340465876255976	-0.0106876453161457	-0.0380765364354803	0.113715646473784	-0.0399423808648899	-0.0249787090645939	-0.034289385517458	0.0386924397945306	-0.00714343400653663	-0.0308135293424654	-0.0309413447769683	-0.0328153289322847	-0.0308791465892743	0.972145891023493	-0.0377568147528174	-0.0401529824556102	-0.0458574606748832	-0.0258820981843183	-0.0299533191851303	-0.0241342948587136	-0.0272483596854053	-0.0472982455805468	-0.0377787712567405	-0.0230950717237212	-0.0366920818911487	-0.047085487932584	-0.0292675760798829	-0.00893417385331509	-0.0413487270163772
P1_I3_M12	-0.0524219331011642	-0.0452772507256647	-0.0522055390280466	-0.00489595283904541	-0.0584714670455124	-0.0375405100380337	-0.0498539864781991	-0.0344597866602156	-0.0329504132430929	-0.0230754760765946	-0.0410891451795015	0.197947166956163	-0.0454999384855266	-0.0316082258681862	-0.0324919587013163	0.94591913692339	-0.00707588213354012	-0.0356125648881507	-0.0331213364349931	-0.0278310313403001	-0.0325055232237415	0.102850361390581	-0.0442966066317851	-0.0618804095544757	-0.0564570559536219	-0.0374972766946292	-0.0281601602355451	-0.0245398255298554	-0.00646608425738147	-0.0523466056660166	-0.0427830164823841	-0.0334338561422475	-0.0451665955615599	-0.0693887221403763	-0.0301273590170569	0.012087486590932	-0.0482726565033049
P1_I3_M15	0.216180396869922	-0.101679530211613	0.0182765194750374	-0.108462794278066	-0.17761739788717	0.160260420055085	-0.00577443899249014	-0.0189600658429277	-0.0275899878903992	-0.0155172680901289	0.089492148776235	-0.303883906374797	-0.0172384167107565	0.0226549498624642	-0.0176300451319388	-0.114631898508065	-0.0793467438087102	-0.00609822324202302	-0.141331927937595	0.141827599982074	0.25613002134526	-0.194644062497279	0.0707030469413354	0.0523589192924255	0.100396520228622	0.308171171236363	0.0288872454380276	-0.0122405229798529	0.0972572931998914	-0.15967559863185	0.0323281167201597	-0.0497379139220546	0.58556991875664	-0.230555183734751	-0.150318706511674	-0.0683681730966707	-0.179191481898729
P1_I3_M22	-0.0246746188198125	-0.044197116948513	0.0117318654803199	-0.024738487238511	-0.0643930141118945	-0.0224943452985397	-0.00159827384625343	-0.0399994041519982	-0.0346657008135761	0.00497074943303099	-0.0264951044701486	0.0461205627574566	-0.0286142019893106	-0.0276841872568821	-0.030632746979109	-0.0199037348688704	-0.0437922112610462	-0.00550804390874298	-0.0378273014818998	-0.0213319646448708	-0.0223095440395458	-0.03186492063077	-0.0067754581961505	-0.0287673425042418	-0.0410230047359762	-0.0275977805497462	-0.0411417031095602	-0.0256529816615454	-0.0285441757929054	-0.054733762708429	-0.0108229016418289	0.978621338375664	-0.0426358334784921	-0.064497983389093	-0.0309562288153397	-0.032357988954827	-0.0532124477480421
P1_I3_M5	0.532280987075605	-0.0459634578030482	0.360135038962586	-0.0926062915003088	-0.134137544982262	-0.0628294131206304	0.02702133599067	-0.0881633236231569	-0.0591749432063018	0.0325396032872861	-0.0778125376281436	0.278395552740604	-0.0788484334544078	-0.0736136633663434	-0.0481797831221393	-0.107230892854952	-0.0479112461733288	-0.0101844176038532	-0.0776774642820198	-0.0616786612723457	-0.0679980315182543	-0.106933891396846	0.455280984287419	0.127345159583736	0.285314879114181	-0.0755133903900256	-0.103184818626798	-0.0771313562287998	-0.0811859590667289	-0.115088817014529	-0.0370490801319995	0.0766398143936575	-0.0974727481229039	-0.141778714896654	-0.0765782797953842	-0.0101860163998303	-0.118840177853748
P1_I3_M14	0.00655349827818172	-0.0502503448083785	0.0685403058999897	-0.040576258442785	-0.0735572513689449	-0.0269593221664943	-0.0137482475500791	-0.0508842972955931	-0.0490512602036447	0.0120359713952074	-0.0352285406990029	0.188816508734933	-0.0361027935617643	-0.0379785831696834	-0.0458569906882465	-0.0556151077166036	-0.0422039966650198	0.0109722837455413	-0.0356676005963354	-0.0332034354925654	-0.039070921426517	-0.0646038412218764	0.0476901121243362	0.944725679213089	-0.0290638881272163	-0.0444945115797475	-0.0572292769156178	-0.0411661777620244	-0.035456886165615	-0.0706189329495301	-0.014847762455066	0.00978138368307029	-0.0451978431919962	-0.08110837847174	-0.0360253875765618	-0.0372678275093507	-0.066080077296348
P1_I3_M9	-0.0526642687095499	-0.0381650511737898	-0.0462460650746394	-0.0381430669086621	-0.0606164416806301	-0.038216749539155	-0.0252531672005032	-0.0244797643570382	-0.0431362103138742	-0.028192350854466	0.928241316916496	0.244447060144672	0.138491232105885	-0.0161941029398733	-0.0420042711396743	-0.0530601750846413	-0.0434359382554225	-0.0225402888840388	-0.0410208763887944	-0.0272738818997974	-0.0281968076078955	-0.0615446971038806	-0.0414739181207755	-0.0562511319555608	-0.0128385470296893	0.0200421640230432	-0.0403968946146682	-0.0499792722688741	-0.0416070084364621	-0.0470997988083856	-0.0409297276756169	-0.0277955986482995	-0.0508301461280944	-0.0646524202337735	-0.0331626473314349	-0.0400501554732384	-0.0537703313488976
P1_I3_M16	-0.0480689172832573	-0.0284731109462384	-0.0381486827558154	-0.0432099388242654	-0.0545429292326744	-0.039904040876521	-0.0164025527736579	-0.0360772022193719	-0.0376606364420899	-0.0230484847392007	0.0962052866900494	0.0962050767484891	0.960342091460159	-0.0377105792169709	-0.0398133333243231	-0.0452766940371065	-0.0347365749555153	-0.0137530085071685	-0.0420836626952342	-0.0207830548196117	-0.0322916592270332	-0.0504593751016296	-0.0457657023845073	-0.0409359116719995	0.0944439588225416	-0.0261139947478484	-0.0401989861941707	-0.0455010314367923	-0.0399488761534751	-0.0343321226822692	-0.0394255716572075	-0.0277373247376324	-0.0421180627008199	-0.0540267402560839	-0.042671005619647	-0.0362774649583616	-0.0496991805427395
P1_I3_M13	-0.0367643180718064	-0.0385675139938626	-0.0316330780588375	-0.0202484455329986	-0.048653388200005	-0.0223919351555833	-0.034588984481853	0.00704865602102287	-0.038689702480447	-0.0255860435862412	-0.0421297196731883	0.123117539880049	-0.0425057150872595	-0.0238504042865224	-0.0374101671256921	-0.021329764204855	-0.0387652338171807	-0.0225682317356741	-0.0109879527998676	-0.0166858452694644	-0.0171196536418461	-0.0443785235035658	-0.0344785192744397	-0.0470978135067496	-0.0416907355197025	-0.0334205121470477	0.971940740340341	-0.0317051465197105	-0.0104202128349778	-0.0504560742125344	-0.0251801634116202	-0.0245029467772717	-0.0277408577069674	-0.0562808467311771	-0.0224782279167822	-0.0367418722797375	-0.0450583866959443
P1_I3_M18	-0.0479615782926166	-0.0477641761683091	-0.0402940857681394	0.015140955843746	-0.0523352480920558	-0.0207552101474316	-0.0367346129119959	-0.0208162766766491	-0.0442887810149562	-0.0155601906821514	-0.03265710598072	0.0476979005900779	-0.0435856088072417	-0.00546780788653398	-0.0410267125074688	-0.0146395090944953	-0.041709643584959	-0.00111067150576874	0.000326106708218877	-0.0323670077378747	-0.0122332362081172	-0.0192618351677348	-0.0246726544631409	-0.0580845481703553	-0.0548100444402025	-0.0351928747055845	-0.0333725905409511	0.976110480301627	-0.0184576832894545	-0.0675108429636431	-0.0266164728497908	-0.00933679331848196	0.000272965370942992	-0.0710709192926339	0.00709809970069018	-0.0337691744864216	-0.0431826117594239
P1_I3_M11	-0.0367671825972846	-0.0546618867881005	-0.0110030160929372	-0.0341665039303242	-0.0694933479985051	0.00640884190457888	-0.00865942395457919	-0.0211121559609958	-0.045632212601715	0.0182149802095203	-0.0487868837402775	0.122132907594925	-0.0392125531052782	-0.0265757375864768	-0.0438691271036663	-0.0333512879753891	-0.0512994064614039	0.962802146274881	-0.0226557892486558	-0.00286761641831048	-0.0210752961670885	-0.0555999136406475	-0.0174725990507887	-0.0636118036159546	-0.0554406902272967	-0.0307151814244275	-0.0440677726992816	-0.0128381543029314	-0.015479418752208	-0.0717033395161561	0.0228942908781786	0.0390441036764511	-0.0300313586661856	-0.0802742713886622	-0.038735099002444	-0.043715549337892	-0.0406226911826701
P1_I3_M3	-0.0472061840710907	-0.0516916390613938	-0.0358445738757142	-0.00333720810234659	-0.0617081876369519	-0.00369139606160099	-0.0445851149459977	-0.00777742902601693	-0.0499988291199632	-0.0174711048613163	-0.0370043459951962	0.222722181031269	-0.0420071565461964	-0.00528864934689638	-0.0508482652228905	-0.0361794417708784	-0.0490968853733675	-0.0301490996036172	0.0109084300601695	-0.0181226806846301	-0.00915107098115703	-0.0714897709810163	-0.0279895488031811	-0.0646131834412629	-0.0605480165819762	-0.0438937253374935	-0.0329489903709591	0.0235769086369649	-0.0129329117501351	-0.0693519967459465	-0.00839731381606227	-0.0241826374931206	-0.0202964861230343	-0.0807500390936773	0.944095956147742	-0.0432987553669289	-0.0394508376841305
