Gene	Module	kME
CENPQ	P1_I1_M1	0.92
IFT88	P1_I1_M2	0.96
ALG1	P1_I1_M6	0.82
ABCF2	P1_I1_M4	0.85
LRRC7	P1_I1_M1	0.92
PIAS1	P1_I1_M4	0.84
APBA2	P1_I1_M1	0.94
EFCAB1	P1_I1_M17	0.93
ASTE1	P1_I1_M1	0.91
GABARAPL2	P1_I1_M13	0.9
VCL	P1_I1_M18	0.89
ADSS	P1_I1_M2	0.83
RFC1	P1_I1_M4	0.81
CUL3	P1_I1_M2	0.92
MYOM2	P1_I1_M25	0.98
OTC	P1_I1_M9	0.81
CYP46A1	P1_I1_M5	0.99
ZZZ3	P1_I1_M6	0.87
SLC18A1	P1_I1_M30	0.93
CASR	P1_I1_M8	0.89
TUBG2	P1_I1_M13	0.89
RPL26L1	P1_I1_M2	0.87
FBXO42	P1_I1_M6	0.82
MFAP3	P1_I1_M8	0.88
TLL1	P1_I1_M1	0.94
CLEC16A	P1_I1_M2	0.94
MSR1	P1_I1_M28	0.96
SKIV2L2	P1_I1_M6	0.85
DNAH5	P1_I1_M1	0.98
ZFYVE16	P1_I1_M6	0.85
C6	P1_I1_M9	0.97
SOX30	P1_I1_M2	0.98
SPDL1	P1_I1_M2	0.96
PQLC2	P1_I1_M1	0.82
RTN4R	P1_I1_M1	0.81
PHF23	P1_I1_M4	0.85
MYO16	P1_I1_M1	0.99
LSG1	P1_I1_M4	0.83
THAP3	P1_I1_M6	0.89
TDP1	P1_I1_M3	0.83
AIFM2	P1_I1_M1	0.8
C2orf83	P1_I1_M1	0.99
SPATA7	P1_I1_M2	0.98
MED17	P1_I1_M1	0.99
RETSAT	P1_I1_M12	0.83
USH2A	P1_I1_M1	0.98
ZPBP	P1_I1_M2	0.97
TG	P1_I1_M22	0.94
ADAM28	P1_I1_M16	0.95
BARX2	P1_I1_M20	0.83
DCUN1D1	P1_I1_M2	0.96
ZIC2	P1_I1_M1	0.98
LCP2	P1_I1_M7	0.88
TRIT1	P1_I1_M6	0.86
ADRB1	P1_I1_M15	0.88
GUCA2B	P1_I1_M12	0.81
CUL7	P1_I1_M6	0.86
CNTLN	P1_I1_M1	0.89
HSPA5	P1_I1_M22	0.82
GPM6B	P1_I1_M5	0.95
MAGEC2	P1_I1_M3	0.97
PREX2	P1_I1_M1	0.88
YTHDC2	P1_I1_M8	0.82
CTPS2	P1_I1_M6	0.81
ATP6V1H	P1_I1_M13	0.92
POLR2B	P1_I1_M4	0.93
CP	P1_I1_M9	0.98
KIAA0556	P1_I1_M17	0.89
ANO2	P1_I1_M3	0.96
SCML1	P1_I1_M2	0.9
FAM184B	P1_I1_M1	0.99
GOPC	P1_I1_M4	0.92
ROS1	P1_I1_M16	0.83
RRM2B	P1_I1_M8	0.85
SNX29	P1_I1_M8	0.83
LMO3	P1_I1_M5	0.88
GUCA1A	P1_I1_M3	0.98
RSF1	P1_I1_M4	0.89
VPS13D	P1_I1_M6	0.81
R3HDM1	P1_I1_M5	0.83
COL9A2	P1_I1_M8	0.81
ERCC8	P1_I1_M1	0.93
ADAMTS6	P1_I1_M1	0.99
UTS2	P1_I1_M1	0.98
TNFRSF9	P1_I1_M1	0.91
RCN1	P1_I1_M16	0.87
ARID1B	P1_I1_M8	0.88
FOXP3	P1_I1_M1	0.93
PTCD2	P1_I1_M1	0.97
KIAA2022	P1_I1_M1	0.98
JKAMP	P1_I1_M4	0.88
DKK3	P1_I1_M25	0.83
NFE2L3	P1_I1_M15	0.89
SLC4A8	P1_I1_M1	0.87
LAMC3	P1_I1_M15	0.94
TNIP3	P1_I1_M1	0.95
MAPK9	P1_I1_M13	0.91
COL23A1	P1_I1_M22	0.88
RAD51	P1_I1_M3	0.89
POLQ	P1_I1_M1	0.97
PIK3CB	P1_I1_M22	0.86
MPHOSPH9	P1_I1_M3	0.87
RRP12	P1_I1_M14	0.93
TTC17	P1_I1_M4	0.85
ALX4	P1_I1_M1	0.99
FSTL4	P1_I1_M1	0.93
MCF2L2	P1_I1_M1	0.85
NRIP2	P1_I1_M1	0.86
TRAPPC3	P1_I1_M4	0.83
THRAP3	P1_I1_M4	0.89
ENTPD2	P1_I1_M1	0.8
ARID4B	P1_I1_M4	0.83
PTPRN	P1_I1_M5	0.97
HHAT	P1_I1_M1	0.97
FOXC1	P1_I1_M32	0.87
ATP9A	P1_I1_M5	0.9
SPO11	P1_I1_M1	0.92
CBLN4	P1_I1_M30	0.93
FAM168A	P1_I1_M13	0.89
RELT	P1_I1_M14	0.99
CUL1	P1_I1_M2	0.9
FAM114A2	P1_I1_M2	0.88
TAB2	P1_I1_M4	0.88
KMT2C	P1_I1_M6	0.84
PUM2	P1_I1_M4	0.9
ITIH4	P1_I1_M9	0.99
ITIH1	P1_I1_M9	0.99
HPF1	P1_I1_M4	0.82
ZFR	P1_I1_M13	0.94
ZNF280C	P1_I1_M3	0.97
NPFFR2	P1_I1_M1	0.98
PHF21B	P1_I1_M1	0.96
TRAF1	P1_I1_M7	0.91
RC3H2	P1_I1_M6	0.84
IL17RB	P1_I1_M19	0.89
GYG2	P1_I1_M1	0.83
DCBLD2	P1_I1_M6	0.81
SERPINB3	P1_I1_M20	0.92
SOAT1	P1_I1_M23	0.97
MSH4	P1_I1_M1	0.98
F7	P1_I1_M9	0.95
PITHD1	P1_I1_M8	0.82
USP13	P1_I1_M11	0.85
CDK14	P1_I1_M5	0.83
PPP1R12A	P1_I1_M18	0.88
CAMK2B	P1_I1_M5	0.92
CROCC	P1_I1_M1	0.91
POLR3E	P1_I1_M1	0.96
ATP2B4	P1_I1_M18	0.88
ZC3H11A	P1_I1_M4	0.85
RIOK2	P1_I1_M6	0.86
UNKL	P1_I1_M1	0.93
PARP12	P1_I1_M1	0.85
TARBP1	P1_I1_M1	0.81
PSD	P1_I1_M5	0.92
CTDP1	P1_I1_M3	0.92
YBX3	P1_I1_M11	0.86
CREB3L3	P1_I1_M12	0.94
PIGV	P1_I1_M2	0.9
RIMBP2	P1_I1_M8	0.93
QSER1	P1_I1_M6	0.91
ACAA1	P1_I1_M9	0.84
LZTS1	P1_I1_M8	0.94
PRDM6	P1_I1_M1	0.96
WNT8A	P1_I1_M1	0.99
NCKAP1	P1_I1_M13	0.86
GUCY1B3	P1_I1_M8	0.88
MON2	P1_I1_M8	0.87
ARSF	P1_I1_M1	0.93
GPBP1	P1_I1_M4	0.87
ZNF112	P1_I1_M1	0.92
CS	P1_I1_M24	0.83
ELMO2	P1_I1_M13	0.84
WAPL	P1_I1_M2	0.82
APPBP2	P1_I1_M6	0.87
SEZ6	P1_I1_M5	0.97
EIF4B	P1_I1_M21	0.86
SLC6A16	P1_I1_M2	0.98
GLTSCR1	P1_I1_M1	0.8
RPL18	P1_I1_M21	0.92
CA11	P1_I1_M5	0.93
AHRR	P1_I1_M2	0.97
GSC2	P1_I1_M1	0.99
ZNF275	P1_I1_M23	0.82
GPC1	P1_I1_M10	0.89
ADCK1	P1_I1_M1	0.96
RNF4	P1_I1_M4	0.91
CASP8	P1_I1_M7	0.9
TM7SF3	P1_I1_M19	0.85
SPA17	P1_I1_M2	0.94
TSPAN32	P1_I1_M1	0.88
DMRT3	P1_I1_M8	0.93
TAF2	P1_I1_M6	0.93
HIPK2	P1_I1_M5	0.85
TNPO3	P1_I1_M4	0.87
BORCS8-MEF2B	P1_I1_M1	0.99
SUGP2	P1_I1_M2	0.92
DDX20	P1_I1_M2	0.99
POU1F1	P1_I1_M1	0.99
SBNO2	P1_I1_M1	0.85
PMS1	P1_I1_M2	0.97
CALCRL	P1_I1_M28	0.85
ZNF76	P1_I1_M6	0.83
UHRF1BP1	P1_I1_M3	0.93
GNAI3	P1_I1_M1	0.94
IPO5	P1_I1_M2	0.91
OAT	P1_I1_M12	0.88
WDR3	P1_I1_M6	0.89
MCM10	P1_I1_M1	0.95
ROPN1	P1_I1_M2	0.97
ANKRD44	P1_I1_M7	0.96
ADAT1	P1_I1_M4	0.84
TBC1D22B	P1_I1_M1	0.8
NDUFB4	P1_I1_M24	0.83
SPEN	P1_I1_M8	0.81
MAP2K4	P1_I1_M13	0.9
SNAP91	P1_I1_M5	0.98
CYB5R4	P1_I1_M3	0.88
COL17A1	P1_I1_M10	0.94
CDK13	P1_I1_M6	0.9
SLC9A7	P1_I1_M1	0.85
FOXJ2	P1_I1_M6	0.85
ELAVL1	P1_I1_M4	0.9
SMARCD1	P1_I1_M4	0.88
NFYC	P1_I1_M4	0.83
ZMYND12	P1_I1_M2	0.91
NGEF	P1_I1_M5	0.86
CD84	P1_I1_M7	0.92
ZNRD1	P1_I1_M1	0.97
CLDN18	P1_I1_M29	0.89
THUMPD1	P1_I1_M4	0.85
KIF26A	P1_I1_M1	0.99
ATG2B	P1_I1_M1	0.84
ACSM2B	P1_I1_M19	0.9
ZFAT	P1_I1_M15	0.9
STAG3	P1_I1_M2	0.98
MYO9A	P1_I1_M2	0.88
CACNB1	P1_I1_M11	0.92
STOML1	P1_I1_M5	0.91
DHX29	P1_I1_M8	0.84
DNTTIP2	P1_I1_M1	0.93
METTL22	P1_I1_M1	0.89
TP53BP1	P1_I1_M6	0.88
RRP15	P1_I1_M1	0.97
ZFY	P1_I1_M1	0.89
IARS2	P1_I1_M8	0.82
SYT1	P1_I1_M5	0.96
PDZD4	P1_I1_M5	0.99
ATP2B3	P1_I1_M30	0.92
ROCK1	P1_I1_M1	0.9
PDK3	P1_I1_M3	0.86
FGFR3	P1_I1_M10	0.94
HEATR6	P1_I1_M1	0.86
TBC1D25	P1_I1_M1	0.9
GRIPAP1	P1_I1_M13	0.82
PRR11	P1_I1_M1	0.85
REEP1	P1_I1_M2	0.83
POLR1A	P1_I1_M1	0.9
TTC7A	P1_I1_M3	0.85
STON1-GTF2A1L	P1_I1_M1	0.98
SRBD1	P1_I1_M8	0.83
RASGRP2	P1_I1_M7	0.9
PSME4	P1_I1_M2	0.9
IFT80	P1_I1_M6	0.87
PPP2R5B	P1_I1_M5	0.86
PYGM	P1_I1_M11	0.96
PAGE1	P1_I1_M3	0.99
PITX1	P1_I1_M20	0.96
TRPC7	P1_I1_M1	0.99
MAST4	P1_I1_M8	0.82
SDK2	P1_I1_M3	0.95
ADAM7	P1_I1_M16	0.98
NUP133	P1_I1_M6	0.95
NUCKS1	P1_I1_M13	0.88
VPS35	P1_I1_M1	0.86
DNAJA2	P1_I1_M4	0.86
GAL	P1_I1_M1	0.8
CLEC2D	P1_I1_M7	0.87
DRD4	P1_I1_M1	0.99
KIAA1107	P1_I1_M5	0.95
PIGB	P1_I1_M6	0.87
UFD1L	P1_I1_M4	0.83
LRP6	P1_I1_M1	0.82
GUCY2C	P1_I1_M12	0.94
PHRF1	P1_I1_M1	0.98
IKBKAP	P1_I1_M8	0.86
DAPP1	P1_I1_M7	0.81
EXOC5	P1_I1_M1	0.81
CLTCL1	P1_I1_M2	0.86
FGF22	P1_I1_M1	0.96
FSTL3	P1_I1_M15	0.92
MNT	P1_I1_M1	0.86
JMJD6	P1_I1_M14	0.9
POLB	P1_I1_M2	0.87
ST6GALNAC1	P1_I1_M26	0.94
FRMPD1	P1_I1_M1	0.91
CNGB1	P1_I1_M1	0.99
CHAT	P1_I1_M1	0.97
CFAP20	P1_I1_M4	0.83
CSNK2A2	P1_I1_M2	0.87
CAMK2A	P1_I1_M5	0.96
EPHA8	P1_I1_M1	0.98
SLC12A3	P1_I1_M19	0.98
RAD18	P1_I1_M1	0.93
TRPM5	P1_I1_M1	0.98
RPL31	P1_I1_M21	0.96
SNX13	P1_I1_M6	0.9
MS4A12	P1_I1_M26	0.93
ING3	P1_I1_M14	0.88
WBSCR22	P1_I1_M2	0.84
TRIP13	P1_I1_M2	0.95
ATP6AP1	P1_I1_M13	0.84
PRLH	P1_I1_M1	0.99
HLTF	P1_I1_M2	0.88
MYO3B	P1_I1_M1	0.85
CDH19	P1_I1_M1	0.92
PDCD2	P1_I1_M4	0.82
SLC6A15	P1_I1_M1	0.82
RDH11	P1_I1_M27	0.93
ADGRL1	P1_I1_M5	0.89
SPP2	P1_I1_M9	0.99
ACTN1	P1_I1_M18	0.83
ZFYVE26	P1_I1_M1	0.88
PTPN18	P1_I1_M7	0.82
ASIC4	P1_I1_M1	0.96
TRPC5	P1_I1_M1	0.99
HMMR	P1_I1_M3	0.83
TRHDE	P1_I1_M1	0.94
FCGR2B	P1_I1_M15	0.98
TRNT1	P1_I1_M6	0.83
STK10	P1_I1_M7	0.9
ACAP1	P1_I1_M7	0.85
CRMP1	P1_I1_M5	0.97
SIDT1	P1_I1_M1	0.83
MRVI1	P1_I1_M18	0.91
TMEM38A	P1_I1_M11	0.97
XRCC1	P1_I1_M4	0.82
SCARB1	P1_I1_M23	0.92
CYP2W1	P1_I1_M1	0.92
MOV10L1	P1_I1_M3	0.96
PANX2	P1_I1_M1	0.97
SELENOO	P1_I1_M1	0.93
TP63	P1_I1_M10	0.95
ALPK1	P1_I1_M1	0.93
CLCN4	P1_I1_M5	0.83
NLE1	P1_I1_M1	0.86
SDHA	P1_I1_M24	0.9
FNDC8	P1_I1_M2	0.99
GSDMB	P1_I1_M12	0.86
ADAM11	P1_I1_M1	0.86
PPP2R3A	P1_I1_M11	0.86
FERMT2	P1_I1_M18	0.89
TBX21	P1_I1_M1	0.9
NSF	P1_I1_M5	0.97
GLI2	P1_I1_M1	0.92
CLASP1	P1_I1_M6	0.85
PPP2R2C	P1_I1_M5	0.89
TEAD2	P1_I1_M18	0.9
CDHR2	P1_I1_M12	0.96
SNCB	P1_I1_M5	0.96
TSG101	P1_I1_M4	0.87
NCBP3	P1_I1_M3	0.88
SLC24A1	P1_I1_M1	0.93
ZNF532	P1_I1_M18	0.8
SCARF1	P1_I1_M1	0.87
IPCEF1	P1_I1_M22	0.86
NOX3	P1_I1_M1	0.99
SLC12A1	P1_I1_M19	0.97
TUBE1	P1_I1_M2	0.85
KCNQ2	P1_I1_M5	0.97
ACTR6	P1_I1_M1	0.8
TIPIN	P1_I1_M3	0.94
SRI	P1_I1_M26	0.86
EIF4G3	P1_I1_M2	0.86
SEMA3A	P1_I1_M1	0.85
GTSE1	P1_I1_M3	0.87
TTC38	P1_I1_M12	0.82
WNT8B	P1_I1_M1	0.99
ZNF638	P1_I1_M4	0.93
SLC25A40	P1_I1_M1	0.83
FGF4	P1_I1_M1	0.99
ZNF37A	P1_I1_M1	0.82
MARK3	P1_I1_M4	0.83
SLC25A3	P1_I1_M24	0.86
CACNG5	P1_I1_M1	0.99
CACNG4	P1_I1_M5	0.9
MOCOS	P1_I1_M1	0.88
ATP12A	P1_I1_M1	0.8
WDR62	P1_I1_M2	0.95
SEC31B	P1_I1_M1	0.99
SART3	P1_I1_M4	0.92
ARHGAP15	P1_I1_M7	0.93
TUBA3D	P1_I1_M2	0.97
KIFAP3	P1_I1_M13	0.85
MKRN2	P1_I1_M2	0.9
PTPN23	P1_I1_M8	0.93
MLH1	P1_I1_M4	0.82
FMO4	P1_I1_M19	0.89
KLHL20	P1_I1_M6	0.87
RGS11	P1_I1_M1	0.81
SPAG5	P1_I1_M2	0.94
GPATCH1	P1_I1_M1	0.96
MBNL3	P1_I1_M15	0.93
ARHGEF1	P1_I1_M7	0.92
NMRK2	P1_I1_M25	0.98
DGKD	P1_I1_M3	0.84
ACTL6B	P1_I1_M5	0.95
TOP2B	P1_I1_M4	0.87
NFKB2	P1_I1_M7	0.87
DNAJC10	P1_I1_M16	0.88
IL4R	P1_I1_M7	0.87
USP33	P1_I1_M4	0.94
PAK3	P1_I1_M5	0.85
CAPN6	P1_I1_M16	0.86
DCX	P1_I1_M1	0.95
SPAG6	P1_I1_M2	0.91
DYNC1I2	P1_I1_M13	0.87
APBB1IP	P1_I1_M7	0.97
FAM76B	P1_I1_M3	0.81
SIRT6	P1_I1_M1	0.85
TYR	P1_I1_M10	0.86
ACTN2	P1_I1_M11	0.9
FGFR1	P1_I1_M18	0.85
FKBP6	P1_I1_M2	0.99
SMC1B	P1_I1_M2	0.97
CST7	P1_I1_M14	0.92
MAP2	P1_I1_M5	0.96
PIAS2	P1_I1_M2	0.98
AMPH	P1_I1_M5	0.99
LAMP3	P1_I1_M28	0.98
ACER3	P1_I1_M1	0.87
PIK3C3	P1_I1_M4	0.89
N4BP2	P1_I1_M1	0.97
TIGAR	P1_I1_M1	0.88
SYNJ2	P1_I1_M5	0.8
ADCY2	P1_I1_M5	0.91
RBFOX1	P1_I1_M5	0.94
GNB1	P1_I1_M13	0.82
HOXA9	P1_I1_M1	0.81
MLLT10	P1_I1_M2	0.96
ZCWPW1	P1_I1_M2	0.99
ADCYAP1R1	P1_I1_M5	0.94
FGF20	P1_I1_M1	0.99
P2RY10	P1_I1_M7	0.93
PCM1	P1_I1_M2	0.88
TNRC6C	P1_I1_M1	0.82
CBFA2T2	P1_I1_M6	0.85
BRINP1	P1_I1_M5	0.98
PKD2L2	P1_I1_M1	0.92
MYH7B	P1_I1_M11	0.85
TP73	P1_I1_M1	0.92
TOLLIP	P1_I1_M5	0.86
UBE2D4	P1_I1_M1	0.89
CLUL1	P1_I1_M1	0.87
RUNX1T1	P1_I1_M1	0.84
CDH17	P1_I1_M12	0.82
THOC1	P1_I1_M3	0.95
OSBPL6	P1_I1_M1	0.87
SLC1A3	P1_I1_M5	0.95
XRCC5	P1_I1_M4	0.9
SP140	P1_I1_M7	0.92
TNS1	P1_I1_M18	0.85
REXO1	P1_I1_M3	0.85
CDC14A	P1_I1_M2	0.92
CEACAM1	P1_I1_M26	0.9
SENP1	P1_I1_M2	0.98
DUSP13	P1_I1_M11	0.88
AFM	P1_I1_M9	0.99
PGM1	P1_I1_M11	0.92
MOXD1	P1_I1_M18	0.81
DDX43	P1_I1_M3	0.97
PTPRH	P1_I1_M12	0.9
DCT	P1_I1_M10	0.97
EPHA6	P1_I1_M1	0.9
RFX3	P1_I1_M3	0.93
RAB21	P1_I1_M1	0.91
RDH8	P1_I1_M1	0.99
PIH1D3	P1_I1_M17	0.84
CPB2	P1_I1_M9	0.99
CHRNA3	P1_I1_M30	0.86
KCNN2	P1_I1_M30	0.87
CNOT4	P1_I1_M6	0.94
CLDND1	P1_I1_M5	0.84
MOK	P1_I1_M2	0.92
RBL1	P1_I1_M1	0.93
IGSF9B	P1_I1_M1	0.95
CFHR2	P1_I1_M9	0.99
AP4E1	P1_I1_M1	0.93
AFP	P1_I1_M1	0.99
CDH7	P1_I1_M1	0.99
IMPG2	P1_I1_M1	0.9
PCNP	P1_I1_M4	0.9
EXD2	P1_I1_M6	0.88
PTPRC	P1_I1_M7	0.93
CACNA1S	P1_I1_M11	0.98
PKP1	P1_I1_M10	0.94
STK17B	P1_I1_M14	0.82
CDC14B	P1_I1_M6	0.8
ZNF510	P1_I1_M1	0.85
LRP2	P1_I1_M8	0.91
ZNF506	P1_I1_M1	0.85
JMJD4	P1_I1_M1	0.89
SLC13A1	P1_I1_M19	0.97
PCDHB4	P1_I1_M1	0.94
PCDHA6	P1_I1_M1	0.99
PCDHGA2	P1_I1_M1	0.95
PHLPP1	P1_I1_M5	0.88
ATP8B1	P1_I1_M26	0.87
IL12RB2	P1_I1_M1	0.93
FYB	P1_I1_M7	0.94
MPP4	P1_I1_M1	0.99
