Gene	Module	kME
DPM1	P1_I1_M4	0.81
SCYL3	P1_I1_M6	0.88
FGR	P1_I1_M14	0.81
CFH	P1_I1_M9	0.93
FUCA2	P1_I1_M8	0.81
NFYA	P1_I1_M2	0.87
STPG1	P1_I1_M2	0.87
LAS1L	P1_I1_M4	0.88
KRIT1	P1_I1_M4	0.89
RAD52	P1_I1_M1	0.86
AOC1	P1_I1_M15	0.85
HECW1	P1_I1_M1	0.93
CYP26B1	P1_I1_M3	0.8
NDUFAF7	P1_I1_M2	0.98
RBM5	P1_I1_M4	0.83
SLC7A2	P1_I1_M8	0.88
SARM1	P1_I1_M1	0.95
KDM1A	P1_I1_M2	0.83
RBM6	P1_I1_M4	0.85
CAMKK1	P1_I1_M5	0.93
VPS50	P1_I1_M6	0.9
NDUFAB1	P1_I1_M24	0.97
SLC22A16	P1_I1_M3	0.9
ABCB5	P1_I1_M16	0.82
SLC25A13	P1_I1_M9	0.89
CDC27	P1_I1_M4	0.85
SLC4A1	P1_I1_M14	0.92
CALCR	P1_I1_M1	0.99
DVL2	P1_I1_M6	0.81
MCUB	P1_I1_M7	0.89
DHX33	P1_I1_M1	0.88
THSD7A	P1_I1_M1	0.93
LIG3	P1_I1_M6	0.89
AC004381.6	P1_I1_M2	0.96
CIAPIN1	P1_I1_M2	0.9
MSL3	P1_I1_M7	0.9
CREBBP	P1_I1_M4	0.8
MPO	P1_I1_M14	0.89
PON1	P1_I1_M9	0.99
WDR54	P1_I1_M17	0.91
ABCB4	P1_I1_M9	0.94
KMT2E	P1_I1_M4	0.81
SOX8	P1_I1_M5	0.99
FBXL3	P1_I1_M4	0.84
ITGAL	P1_I1_M7	0.97
ASB4	P1_I1_M23	0.88
YBX2	P1_I1_M2	0.96
KRT33A	P1_I1_M1	0.99
ABCC8	P1_I1_M1	0.91
CACNG3	P1_I1_M5	0.94
TMEM132A	P1_I1_M5	0.94
TAC1	P1_I1_M5	0.85
ZNF263	P1_I1_M4	0.92
SPATA20	P1_I1_M2	0.95
CACNA1G	P1_I1_M1	0.93
DLX6	P1_I1_M1	0.98
MAP3K9	P1_I1_M1	0.93
ETV1	P1_I1_M5	0.83
CCL26	P1_I1_M1	0.9
USH1C	P1_I1_M12	0.9
DBF4	P1_I1_M3	0.99
TBXA2R	P1_I1_M1	0.97
LGALS14	P1_I1_M15	0.97
COX10	P1_I1_M2	0.84
PAF1	P1_I1_M4	0.87
VPS41	P1_I1_M13	0.92
ARHGAP44	P1_I1_M8	0.83
ELAC2	P1_I1_M4	0.86
MYH13	P1_I1_M1	0.99
CDKL3	P1_I1_M3	0.99
UPP2	P1_I1_M19	0.95
PRSS21	P1_I1_M2	0.95
MARK4	P1_I1_M2	0.8
CEACAM21	P1_I1_M1	0.9
PAFAH1B1	P1_I1_M13	0.9
DNAH9	P1_I1_M17	0.99
KIAA0100	P1_I1_M4	0.87
SLC13A2	P1_I1_M12	0.94
GAS7	P1_I1_M5	0.88
CEACAM7	P1_I1_M26	0.93
SCN4A	P1_I1_M11	0.91
ST7L	P1_I1_M2	0.98
TKTL1	P1_I1_M2	0.97
PAX6	P1_I1_M1	0.8
RPUSD1	P1_I1_M1	0.85
LUC7L	P1_I1_M4	0.85
CACNA2D2	P1_I1_M28	0.95
BAIAP3	P1_I1_M17	0.83
CRAMP1	P1_I1_M3	0.91
TEAD3	P1_I1_M18	0.86
FMO3	P1_I1_M9	0.99
NOX1	P1_I1_M26	0.92
SYN1	P1_I1_M5	0.96
TFAP2B	P1_I1_M16	0.84
TFAP2D	P1_I1_M1	0.99
DLEC1	P1_I1_M17	0.94
ADAM22	P1_I1_M5	0.91
SYPL1	P1_I1_M4	0.81
CELSR3	P1_I1_M1	0.99
PLEKHG6	P1_I1_M12	0.85
MGST1	P1_I1_M9	0.81
CRY1	P1_I1_M2	0.87
PGLYRP1	P1_I1_M14	0.92
ST3GAL1	P1_I1_M22	0.84
MAPK8IP2	P1_I1_M5	0.99
RPS20	P1_I1_M21	0.95
UBE3C	P1_I1_M4	0.81
TENM1	P1_I1_M1	0.98
PAX7	P1_I1_M1	0.99
MASP2	P1_I1_M9	0.98
IYD	P1_I1_M22	0.94
FAM76A	P1_I1_M6	0.82
TRAF3IP3	P1_I1_M7	0.94
POMT2	P1_I1_M3	0.9
BAZ1B	P1_I1_M4	0.93
RANBP9	P1_I1_M2	0.9
SPRTN	P1_I1_M3	0.97
METTL13	P1_I1_M6	0.89
DYRK4	P1_I1_M2	0.96
UQCRC1	P1_I1_M11	0.8
HHATL	P1_I1_M25	0.98
IFFO1	P1_I1_M1	0.86
PHF7	P1_I1_M2	0.95
SEMA3G	P1_I1_M15	0.83
FUZ	P1_I1_M2	0.88
SLC6A13	P1_I1_M19	0.99
IDS	P1_I1_M5	0.92
PRSS3	P1_I1_M31	1.0
ZNF200	P1_I1_M3	0.97
LRRC23	P1_I1_M17	0.94
BTK	P1_I1_M7	0.94
FMO1	P1_I1_M19	0.97
SLC6A7	P1_I1_M1	0.88
BTBD7	P1_I1_M1	0.84
APBA3	P1_I1_M1	0.96
MKS1	P1_I1_M6	0.86
MBTD1	P1_I1_M2	0.91
UTP18	P1_I1_M2	0.87
LARS2	P1_I1_M1	0.81
PIK3C2A	P1_I1_M8	0.94
PLAUR	P1_I1_M14	0.89
ANLN	P1_I1_M5	0.91
RABGAP1	P1_I1_M13	0.87
QPCTL	P1_I1_M1	0.96
ZBTB32	P1_I1_M2	0.93
BRCA1	P1_I1_M3	0.92
MBTPS2	P1_I1_M6	0.86
PRICKLE3	P1_I1_M1	0.9
UBR7	P1_I1_M6	0.9
MAP4K5	P1_I1_M18	0.81
EHD3	P1_I1_M5	0.88
PSMC4	P1_I1_M4	0.84
CLDN11	P1_I1_M2	0.86
ANGEL1	P1_I1_M2	0.83
GPRC5A	P1_I1_M28	0.93
MAMLD1	P1_I1_M3	0.85
CD6	P1_I1_M7	0.95
UFL1	P1_I1_M4	0.88
POLA2	P1_I1_M1	0.85
ZC3H3	P1_I1_M3	0.83
ACPP	P1_I1_M27	0.95
MDH1	P1_I1_M24	0.85
ZMYND11	P1_I1_M4	0.8
WAS	P1_I1_M7	0.96
MATR3	P1_I1_M4	0.85
NPC1L1	P1_I1_M12	0.96
RGPD5	P1_I1_M1	0.98
STMN4	P1_I1_M5	0.96
NUDCD3	P1_I1_M1	0.94
CHDH	P1_I1_M19	0.84
CLCA1	P1_I1_M12	0.82
RUFY3	P1_I1_M13	0.81
CNTN1	P1_I1_M5	0.91
SLC11A1	P1_I1_M1	0.88
WWTR1	P1_I1_M18	0.84
CXorf56	P1_I1_M6	0.93
TTC27	P1_I1_M6	0.92
ZNF582	P1_I1_M1	0.91
VSIG2	P1_I1_M29	0.93
MARCO	P1_I1_M28	0.9
SYT13	P1_I1_M5	0.86
SNAI2	P1_I1_M18	0.8
HGF	P1_I1_M15	0.98
ZRANB1	P1_I1_M6	0.81
NCDN	P1_I1_M5	0.97
ADGRA2	P1_I1_M18	0.8
ZFP64	P1_I1_M1	0.86
MNAT1	P1_I1_M8	0.9
SAMD4A	P1_I1_M2	0.89
RUNX3	P1_I1_M7	0.87
PLEKHB1	P1_I1_M5	0.92
SLC7A9	P1_I1_M12	0.87
NRXN3	P1_I1_M5	0.82
AQR	P1_I1_M1	0.93
CPS1	P1_I1_M9	0.93
C8B	P1_I1_M9	0.99
FHL1	P1_I1_M11	0.93
RTFDC1	P1_I1_M13	0.83
GABRA1	P1_I1_M5	0.99
NLRP2	P1_I1_M1	0.98
GRAMD1B	P1_I1_M23	0.92
NDUFS1	P1_I1_M24	0.91
ALAS1	P1_I1_M23	0.91
BIRC3	P1_I1_M7	0.85
SNAPC1	P1_I1_M3	0.89
STRAP	P1_I1_M13	0.89
DEF6	P1_I1_M7	0.9
UBR2	P1_I1_M6	0.83
EHD2	P1_I1_M18	0.86
DEPDC1	P1_I1_M3	0.93
HSF2	P1_I1_M2	0.91
PHF20	P1_I1_M6	0.89
HSD17B6	P1_I1_M9	0.97
TOMM34	P1_I1_M2	0.9
KPNA6	P1_I1_M8	0.87
VIM	P1_I1_M21	0.81
BTN3A1	P1_I1_M7	0.81
INSRR	P1_I1_M1	0.99
SH2D2A	P1_I1_M1	0.83
TNFRSF1B	P1_I1_M7	0.8
POU2F2	P1_I1_M7	0.93
BRD9	P1_I1_M1	0.87
TBPL1	P1_I1_M2	0.97
ANK1	P1_I1_M11	0.97
IBSP	P1_I1_M1	0.99
HMGB3	P1_I1_M15	0.81
NUP160	P1_I1_M4	0.87
MUSK	P1_I1_M1	0.98
