Module	lymph.node	stomach	appendix	parathyroid.gland	skeletal.muscle	endometrium	urinary.bladder	seminal.vesicle	colon	gallbladder	skin	adipose.tissue	esophagus	prostate	rectum	kidney	duodenum	placenta	testis	cervix..uterine	fallopian.tube	liver	spleen	bone.marrow	tonsil	breast	epididymis	adrenal.gland	thyroid.gland	salivary.gland	smooth.muscle	lung	ovary	pancreas	cerebral.cortex	small.intestine	heart.muscle
P1_I12_M14	-0.0313030980205603	-0.0295295026793279	-0.0295879050725942	-0.0232301280176852	-0.038860820256741	-0.0244614025375611	-0.0292559497038999	-0.00927788555210112	-0.0321926266779571	-0.0258165629144984	-0.0319381833899829	0.00918144180001	-0.0330147220247761	-0.025023655211947	-0.0311561471478849	-0.0232093844081107	-0.0263442273835117	-0.0218827044485907	-0.0172154238850996	-0.0246997509175862	-0.020760200998117	-0.0362721723758928	-0.0307128513625702	-0.032507202921626	-0.0325892013115685	-0.0291504605902543	0.985078098236707	-0.0296897245093104	-0.0226215871234557	-0.0371037979783561	-0.0257447274063481	-0.0286594884869377	-0.0292223696181818	-0.0406257766276134	-0.0272922158773038	-0.0280562803535599	-0.035251402245205
P1_I12_M12	0.220798133755617	-0.0996502038148127	0.0200573478169787	-0.119670652308755	-0.171996339411254	0.152866637548235	-0.00557600937194729	-0.0193832055302417	-0.0245707567417252	-0.0193759400091063	0.0954437515795554	-0.305352684347683	-0.0139124849941555	0.0211494705522592	-0.0186051881144857	-0.118264906345515	-0.0788480643478175	-0.00816208632295876	-0.140723085523819	0.137389873896521	0.251847918443591	-0.191778228458304	0.0708912493080852	0.0597266585168655	0.100559277506254	0.315872559132764	0.0301333921582791	-0.0087721333452966	0.0890390410925127	-0.15539061692773	0.024574429046667	-0.053462559924734	0.586755160049246	-0.226557918129136	-0.15148105226826	-0.0677644688287043	-0.17780631533699
P1_I12_M5	0.53330107699253	-0.0461387299941984	0.361549632737539	-0.0922230982869971	-0.134575276493407	-0.0625960189117791	0.0277220567896338	-0.0878613910364675	-0.0590916400966946	0.0331175032048991	-0.0772611939932739	0.26881259951386	-0.0785015261898039	-0.0736051489956258	-0.0480248282854113	-0.108873872263688	-0.0476489109811606	-0.00900688690618207	-0.0775079226755765	-0.0612664694039319	-0.0675298520584208	-0.107626401275504	0.456519917032916	0.127353664846351	0.287992230522403	-0.0752007186576003	-0.103253429458909	-0.0771937893411324	-0.0807404776159372	-0.115377981594324	-0.0368635243428626	0.0772210103540896	-0.0974066284581563	-0.142331345818648	-0.0766674796759484	-0.010124822242625	-0.119090326939953
P1_I12_M11	0.00655349827818172	-0.0502503448083785	0.0685403058999897	-0.040576258442785	-0.0735572513689449	-0.0269593221664943	-0.0137482475500791	-0.0508842972955931	-0.0490512602036447	0.0120359713952074	-0.0352285406990029	0.188816508734933	-0.0361027935617643	-0.0379785831696834	-0.0458569906882465	-0.0556151077166036	-0.0422039966650198	0.0109722837455413	-0.0356676005963354	-0.0332034354925654	-0.039070921426517	-0.0646038412218764	0.0476901121243362	0.944725679213089	-0.0290638881272163	-0.0444945115797475	-0.0572292769156178	-0.0411661777620244	-0.035456886165615	-0.0706189329495301	-0.014847762455066	0.00978138368307029	-0.0451978431919962	-0.08110837847174	-0.0360253875765618	-0.0372678275093507	-0.066080077296348
P1_I12_M9	-0.0529161505412102	-0.0379879798840879	-0.0461610188362605	-0.0388203258066631	-0.060690997842456	-0.0380694824185781	-0.024916876045074	-0.0241511594583347	-0.0430641694038655	-0.0279108144207546	0.929426079215488	0.238831652617211	0.140551603382897	-0.0157903178000126	-0.0419883125543063	-0.0530499647612966	-0.0433129414253775	-0.0223698689762635	-0.0416599431994808	-0.0269742448527998	-0.0279115736683063	-0.0616307494336396	-0.0413442410466072	-0.0562808385449505	-0.0125167596751021	0.0202185978865514	-0.0403415906059335	-0.0499506677186439	-0.0414630724182095	-0.0470214165890184	-0.0408199274487068	-0.0275696482645771	-0.050801796442252	-0.0647727169690111	-0.0330887700372289	-0.0399019000151417	-0.0537776959979969
P1_I12_M13	-0.0480689172832573	-0.0284731109462384	-0.0381486827558154	-0.0432099388242654	-0.0545429292326744	-0.039904040876521	-0.0164025527736579	-0.0360772022193719	-0.0376606364420899	-0.0230484847392007	0.0962052866900494	0.0962050767484891	0.960342091460159	-0.0377105792169709	-0.0398133333243231	-0.0452766940371065	-0.0347365749555153	-0.0137530085071685	-0.0420836626952342	-0.0207830548196117	-0.0322916592270332	-0.0504593751016296	-0.0457657023845073	-0.0409359116719995	0.0944439588225416	-0.0261139947478484	-0.0401989861941707	-0.0455010314367923	-0.0399488761534751	-0.0343321226822692	-0.0394255716572075	-0.0277373247376324	-0.0421180627008199	-0.0540267402560839	-0.042671005619647	-0.0362774649583616	-0.0496991805427395
P1_I12_M3	-0.0472061840710907	-0.0516916390613938	-0.0358445738757142	-0.00333720810234659	-0.0617081876369519	-0.00369139606160099	-0.0445851149459977	-0.00777742902601693	-0.0499988291199632	-0.0174711048613163	-0.0370043459951962	0.222722181031269	-0.0420071565461964	-0.00528864934689638	-0.0508482652228905	-0.0361794417708784	-0.0490968853733675	-0.0301490996036172	0.0109084300601695	-0.0181226806846301	-0.00915107098115703	-0.0714897709810163	-0.0279895488031811	-0.0646131834412629	-0.0605480165819762	-0.0438937253374935	-0.0329489903709591	0.0235769086369649	-0.0129329117501351	-0.0693519967459465	-0.00839731381606227	-0.0241826374931206	-0.0202964861230343	-0.0807500390936773	0.944095956147742	-0.0432987553669289	-0.0394508376841305
P1_I12_M4	0.0587928463595531	-0.140540075047112	0.0242242605220848	0.378807794633339	-0.304431346882482	0.210215552752853	-0.044272445771143	0.0477110521996962	-0.112080879742349	0.0412761105369178	-0.0127694039776729	0.095811190561401	-0.0622204102858811	0.136334377111614	-0.0465282346691834	-0.0591612213164792	-0.136534464919156	0.110354469584796	0.245109006092656	0.0911059568511119	0.156478503575107	-0.256246200502673	0.0617025315239121	-0.152961027200086	-0.0311791827587417	0.0212503643839794	0.00753277495934736	-0.00426759698952201	0.278209813613176	-0.305596293803041	0.13549226281438	0.0388607901355417	0.103358205052975	-0.384026563493947	0.126920853231541	-0.100328619141901	-0.21640474999461
P1_I12_M7	-0.0542402691592588	-0.0570341785097394	-0.0444985008486285	0.935466165676896	-0.105492124295678	0.00747759132127111	-0.0451689723388355	-0.0034380427069852	-0.0589741493533061	-0.00872272945357844	-0.0412782797315693	0.114038258866816	-0.0423149677375741	0.0309853398207145	-0.0460840568836943	-0.00174847798374929	-0.05544095625082	0.0107472528055891	0.0335808278774733	0.00173969529705954	0.0141222927025202	-0.0878499159066886	-0.0327069975403283	-0.0820933432751448	-0.0732553029241912	-0.0208041951629492	-0.0250391405627816	-0.00350153402163141	0.0905258954841974	-0.111731189223552	-0.00237413040475735	-0.00333811767688923	-0.0215115505164943	-0.141753074291344	0.0609177511786076	-0.0479219071827703	-0.0812849670882055
P1_I12_M1	-0.0212088893216529	-0.038444194940539	-0.0238325262186808	-0.00950183894654874	-0.0547807429935708	-0.0139110220802446	-0.036804514964798	-0.0267098076331664	-0.0396929280082345	-0.0254183417666056	-0.0195517263890876	0.978813634509099	-0.0383374933122509	-0.0165890850257551	-0.037833339273967	-0.034383355593617	-0.0353152922748682	-0.0221585719782312	0.053491881757566	-0.0256120035334824	-0.0114927743161411	-0.0545506874205195	-0.0159057510196183	-0.0395832885659636	-0.0374746022758895	-0.0297519717314225	-0.0290855007443111	-0.0263896008624097	-0.00937365288853553	-0.0569268978407305	-0.0258123328451141	-0.0237086404711601	-0.0219542159470358	-0.0654407818735355	0.0170112412520128	-0.0324331389410088	-0.0493472455199819
